voltage,kg/hr
2.060546875,301.4901658684382
2.0703125,303.7126253471459
2.080078125,305.6417420037579
2.08984375,308.3470013616014
2.099609375,311.57734777951174
2.109375,314.8589557120281
2.119140625,318.3742075504386
2.12890625,322.0639767192106
2.138671875,326.53859122400235
2.1484375,330.14112797982864
2.158203125,336.1558882549953
2.16796875,341.18948978292855
2.177734375,347.05266670840746
2.1875,353.2826118006441
2.197265625,359.6394083600132
2.20703125,362.8980270144385
2.216796875,367.8323601602083
2.2265625,372.23023617658964
2.236328125,376.5249231193837
2.24609375,379.74461662452694
2.255859375,383.6851863391271
2.265625,387.99001944781656
2.275390625,392.01155473554275
2.28515625,395.24923858687833
2.294921875,398.2199127676784
2.3046875,401.9107493266437
2.314453125,407.06771211774543
2.32421875,410.9196506537773
2.333984375,414.6983938321133
